command,cycles,instructions,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,dtlb_load_misses.miss_causes_a_walk,dtlb_load_misses.stlb_hit,dtlb_load_misses.walk_completed,dtlb_load_misses.walk_duration,dtlb_store_misses.miss_causes_a_walk,dtlb_store_misses.stlb_hit,dtlb_store_misses.walk_completed,dtlb_store_misses.walk_duration,ept.walk_cycles,page_walker_loads.dtlb_l1,page_walker_loads.dtlb_l2,page_walker_loads.dtlb_l3,page_walker_loads.dtlb_memory,page-faults,major-faults,minor-faults
"block-size=8G oper=read access-mode=seq",11384607952,5917894605,27230720,4306634901,28778745,280012826,22638704,17775257,9498937,398136827,30966392,9532603,13429674,471529674,367336256,34296043,854770,278806,205874,2098020,0,2098020
"block-size=8G oper=read access-mode=rnd",670663915327,133156374970,19801676654,21487297768,31439912,8869948012,19812502592,4796822,8394825756,1338253925761,30685609,11217979,13740058,480748529,717916163338,8524303064,3951740248,3566115036,130892125,2098020,0,2098020
"block-size=8G oper=write access-mode=seq",14241337427,22560893795,12131769,11496619,52921895,4574980155,11016224,2460163,4216436,189768382,46973152,14429286,23499592,980360686,429739775,29874406,783061,288930,241445,2098020,0,2098020
"block-size=8G oper=write access-mode=rnd",1291768621013,133156440419,16531150,17193253899,19490223918,13164915321,17215087,1584505,5553902,525562974,19277507213,16457184,7972522727,1516855122526,814513573967,8362161284,3570841526,3268402053,650145372,2098020,0,2098020
"block-size=1G oper=read access-mode=seq",12196872798,5916071595,10590997,4299126546,2733208,35957855,10736685,13853795,5101128,211778797,4163829,1815165,1872054,74262865,209962181,11686123,845681,84872,201614,263012,0,263012
"block-size=1G oper=read access-mode=rnd",335141003286,133154514949,12659561087,21479768705,3446779,8625893116,12660200550,25513646,4366410833,577039184404,2965462,2125474,1808383,49682992,313524313330,4519061390,1688229258,3972457307,116711737,263012,0,263012
"block-size=1G oper=write access-mode=seq",11250258154,22559069577,1622774,4156256,24446950,4330925176,1101894,210281,546433,20271151,24444680,6740261,12680488,658899516,300049527,12842098,750304,109765,242284,263012,0,263012
"block-size=1G oper=write access-mode=rnd",1488303154067,133154636654,6125364,17186218495,13135006106,12920860312,4143219,338583,1934564,322023420,13167030114,26213501,4736299047,542870157674,281479319203,4580607223,1584068893,3685609220,55548019,263012,0,263012
